patient_id,name,email,ssn,diagnosis,country
1,JELLH,jellh@example.com,593-33-3505,Flu,USA
2,UJECQ,ujecq@example.com,495-18-5518,Cancer,India
3,EIMDX,eimdx@example.com,671-20-6308,Diabetes,USA
4,KNUTI,knuti@example.com,790-85-8852,Hypertension,Canada
5,JTKYK,jtkyk@example.com,541-87-9267,Cancer,Australia
6,DQPWX,dqpwx@example.com,316-76-2554,Hypertension,Canada
7,LYOYM,lyoym@example.com,883-88-3166,Asthma,India
8,KJGYN,kjgyn@example.com,313-35-2705,Diabetes,Canada
9,IHBYR,ihbyr@example.com,254-63-6902,Asthma,UK
10,CISSD,cissd@example.com,145-62-9061,Diabetes,Canada
11,FFZKU,ffzku@example.com,902-96-7442,Diabetes,Canada
12,WZCGP,wzcgp@example.com,507-33-4563,Diabetes,UK
13,OITRC,oitrc@example.com,578-84-1513,Cancer,Australia
14,QBTCQ,qbtcq@example.com,133-14-3281,Diabetes,USA
15,FBPBW,fbpbw@example.com,729-99-1667,Asthma,USA
16,MBCGX,mbcgx@example.com,290-40-7898,Asthma,Australia
17,GKEKR,gkekr@example.com,727-73-8059,Flu,Australia
18,DYGRL,dygrl@example.com,183-78-1700,Hypertension,UK
19,NOYNV,,989-18-6989,Asthma,Australia
20,VKDMB,vkdmb@example.com,485-58-6013,Diabetes,Canada
21,KEDOA,kedoa@example.com,720-28-7847,Cancer,India
22,QHUKE,qhuke@example.com,429-75-6534,Hypertension,USA
23,XJTLV,xjtlv@example.com,280-25-3420,Asthma,Canada
24,LVWZN,lvwzn@example.com,502-57-8332,Hypertension,Canada
25,ERSZS,erszs@example.com,484-10-9316,Flu,UK
26,POQRG,poqrg@example.com,307-60-5740,Diabetes,UK
27,OTRNR,,486-26-9252,Diabetes,UK
28,QXOWL,qxowl@example.com,412-10-1247,Diabetes,UK
29,ASAUX,asaux@example.com,676-98-5853,Diabetes,India
30,JZBCA,,538-47-9553,Diabetes,UK
31,DDPEN,ddpen@example.com,730-82-3066,Flu,Canada
32,GHWGZ,ghwgz@example.com,865-79-3794,Flu,Australia
33,TYQXP,tyqxp@example.com,124-40-2854,Asthma,Canada
34,SSRVO,ssrvo@example.com,834-63-3712,Flu,Canada
35,NKASV,nkasv@example.com,199-19-4579,Diabetes,Australia
36,KCCIT,kccit@example.com,471-57-3149,Hypertension,UK
37,YTXEJ,ytxej@example.com,204-87-9600,Diabetes,USA
